age,age_squared,fnlwgt,educational-num,hours-per-week,capital-gain,capital-loss,log_capital_gain,log_capital_loss,log_capital_net,has_capital_gain,has_capital_loss,has_any_capital,is_prime_age,is_young,is_senior,has_advanced_degree,has_college,hs_or_less,works_overtime,works_extreme,is_part_time,is_professional,is_private,is_self_employed,is_government,is_married,never_married,is_male,is_white,is_usa,age_education_interaction,hours_education_interaction,age_hours_interaction,education_capital_interaction,work_intensity,capital_per_hour,education_age_ratio,hours_age_ratio,capital_net,workclass_encoded,education_encoded,marital-status_encoded,occupation_encoded,relationship_encoded,race_encoded,gender_encoded,native-country_encoded,age_bucket_encoded,hours_category_encoded,education_category_encoded,target
50,2500,156606,10,30,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,500,300,1500,0.0,1.5,0.0,0.19607843137254902,0.5882352941176471,0,4,15,2,3,5,4,0,37,3,4,2,0
20,400,132320,10,40,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,200,400,800,0.0,0.8,0.0,0.47619047619047616,1.9047619047619047,0,2,15,5,2,1,4,1,37,0,2,2,0
24,576,165201,10,45,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,240,450,1080,0.0,1.08,0.0,0.4,1.8,0,5,15,2,0,5,4,0,37,1,3,2,0
17,289,287160,7,15,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,119,105,255,0.0,0.255,0.0,0.3888888888888889,0.8333333333333334,0,2,1,4,7,3,4,0,37,0,4,1,0
53,2809,104258,6,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,318,240,2120,0.0,2.12,0.0,0.1111111111111111,0.7407407407407407,0,2,0,2,2,0,4,1,37,4,2,1,0
53,2809,479621,11,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,583,440,2120,0.0,2.12,0.0,0.2037037037037037,0.7407407407407407,0,2,8,0,12,1,2,1,37,4,2,2,0
80,6400,132728,9,20,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,720,180,1600,0.0,1.6,0.0,0.1111111111111111,0.24691358024691357,0,4,11,4,3,1,4,1,37,5,4,2,0
49,2401,136358,14,20,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,686,280,980,0.0,0.98,0.0,0.28,0.4,0,2,12,0,11,4,3,0,27,3,4,0,0
32,1024,343789,9,55,5013,0,8.519989278718239,0.0,8.519989278718239,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,288,495,1760,76.67990350846415,1.76,89.51785714285714,0.2727272727272727,1.6666666666666667,5013,2,11,2,6,0,4,1,37,2,1,2,0
52,2704,42984,15,70,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,780,1050,3640,0.0,3.64,0.0,0.2830188679245283,1.320754716981132,0,4,14,2,9,0,4,1,37,4,0,3,1
35,1225,185621,13,60,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,455,780,2100,0.0,2.1,0.0,0.3611111111111111,1.6666666666666667,0,3,9,4,3,1,4,0,37,2,1,0,1
49,2401,164799,9,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,441,360,1960,0.0,1.96,0.0,0.18,0.8,0,2,11,2,6,0,4,1,37,3,2,2,1
24,576,241367,10,40,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,240,400,960,0.0,0.96,0.0,0.4,1.6,0,2,15,4,7,1,4,1,37,1,2,2,0
23,529,173851,10,40,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,230,400,920,0.0,0.92,0.0,0.4166666666666667,1.6666666666666667,0,2,15,4,2,1,4,1,37,1,2,2,0
26,676,120238,13,40,3325,0,8.109525659752872,0.0,8.109525659752872,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,338,520,1040,105.42383357678735,1.04,81.09756097560975,0.48148148148148145,1.4814814814814814,3325,2,9,4,2,1,4,1,37,1,2,0,0
36,1296,127573,9,38,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,324,342,1368,0.0,1.368,0.0,0.24324324324324326,1.027027027027027,0,2,11,5,0,1,4,0,37,2,2,2,0
21,441,137320,10,20,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,210,200,420,0.0,0.42,0.0,0.45454545454545453,0.9090909090909091,0,2,15,4,0,3,2,1,37,1,4,2,0
34,1156,55717,9,50,0,1848,0.0,7.522400231387125,7.522400231387125,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,306,450,1700,0.0,1.7,-36.23529411764706,0.2571428571428571,1.4285714285714286,-1848,2,11,2,2,0,4,1,37,2,3,2,1
63,3969,68872,9,20,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,567,180,1260,0.0,1.26,0.0,0.140625,0.3125,0,2,11,2,13,5,1,0,37,5,4,2,0
26,676,285004,13,35,0,0,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,338,455,910,0.0,0.91,0.0,0.48148148148148145,1.2962962962962963,0,2,9,4,3,1,1,1,33,1,2,0,0
51,2601,457357,9,45,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,459,405,2295,0.0,2.295,0.0,0.17307692307692307,0.8653846153846154,0,2,11,2,2,0,4,1,37,4,3,2,0
25,625,99076,13,50,2597,0,7.862497197230545,0.0,7.862497197230545,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,325,650,1250,102.21246356399709,1.25,50.92156862745098,0.5,1.9230769230769231,2597,5,9,4,7,1,4,0,37,1,3,0,0
25,625,355124,9,40,0,2001,0.0,7.601901959875166,7.601901959875166,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,225,360,1000,0.0,1.0,-48.80487804878049,0.34615384615384615,1.5384615384615385,-2001,2,11,4,6,1,4,0,24,1,2,2,0
49,2401,111066,13,50,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,637,650,2450,0.0,2.45,0.0,0.26,1.0,0,4,9,2,2,0,4,1,37,3,3,0,1
40,1600,320071,10,48,0,1408,0.0,7.25063551189868,7.25063551189868,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,400,480,1920,0.0,1.92,-28.73469387755102,0.24390243902439024,1.170731707317073,-1408,2,15,0,3,1,4,1,37,2,3,2,0
28,784,290267,13,18,0,0,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,364,234,504,0.0,0.504,0.0,0.4482758620689655,0.6206896551724138,0,2,9,4,9,1,4,1,37,1,4,0,0
46,2116,102869,9,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,414,360,1840,0.0,1.84,0.0,0.19148936170212766,0.851063829787234,0,4,11,2,11,0,4,1,37,3,2,2,1
56,3136,236676,9,50,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,504,450,2800,0.0,2.8,0.0,0.15789473684210525,0.8771929824561403,0,3,11,2,11,0,4,1,37,4,3,2,1
22,484,136230,9,40,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,198,360,880,0.0,0.88,0.0,0.391304347826087,1.7391304347826086,0,2,11,4,0,3,4,1,37,1,2,2,0
47,2209,308857,13,50,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,611,650,2350,0.0,2.35,0.0,0.2708333333333333,1.0416666666666667,0,2,9,0,3,1,4,1,37,3,3,0,0
24,576,307133,10,40,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,240,400,960,0.0,0.96,0.0,0.4,1.6,0,2,15,2,13,0,4,1,37,1,2,2,0
23,529,215115,10,25,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,230,250,575,0.0,0.575,0.0,0.4166666666666667,1.0416666666666667,0,0,15,4,0,3,4,0,37,1,4,2,0
55,3025,190257,9,53,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,495,477,2915,0.0,2.915,0.0,0.16071428571428573,0.9464285714285714,0,2,11,2,4,0,4,1,37,4,1,2,1
44,1936,103233,13,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,572,520,1760,0.0,1.76,0.0,0.28888888888888886,0.8888888888888888,0,2,9,4,0,4,2,0,37,3,2,0,0
30,900,373213,11,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,330,440,1200,0.0,1.2,0.0,0.3548387096774194,1.2903225806451613,0,2,8,0,11,1,4,0,37,1,2,2,1
28,784,192010,13,35,0,0,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,364,455,980,0.0,0.98,0.0,0.4482758620689655,1.206896551724138,0,2,9,2,7,5,4,0,37,1,2,0,0
33,1089,178107,13,20,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,429,260,660,0.0,0.66,0.0,0.38235294117647056,0.5882352941176471,0,2,9,4,2,3,4,1,37,2,4,0,0
25,625,110010,9,40,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,225,360,1000,0.0,1.0,0.0,0.34615384615384615,1.5384615384615385,0,3,11,0,11,3,4,1,37,1,2,2,0
31,961,212705,10,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,310,400,1240,0.0,1.24,0.0,0.3125,1.25,0,2,15,2,12,0,4,1,37,2,2,2,1
44,1936,77313,9,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,396,360,1760,0.0,1.76,0.0,0.2,0.8888888888888888,0,2,11,0,0,4,4,0,37,3,2,2,0
43,1849,72338,14,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,602,560,1720,0.0,1.72,0.0,0.3181818181818182,0.9090909090909091,0,2,12,2,12,0,1,1,37,3,2,0,1
36,1296,177154,11,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,396,440,1440,0.0,1.44,0.0,0.2972972972972973,1.0810810810810811,0,2,8,4,12,1,4,1,37,2,2,2,1
33,1089,99309,9,50,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,297,450,1650,0.0,1.65,0.0,0.2647058823529412,1.4705882352941178,0,2,11,2,3,0,4,1,37,2,3,2,0
23,529,91733,13,40,3325,0,8.109525659752872,0.0,8.109525659752872,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,299,520,920,105.42383357678735,0.92,81.09756097560975,0.5416666666666666,1.6666666666666667,3325,2,9,4,12,3,4,0,37,1,2,0,0
86,7396,149912,14,40,0,0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1204,560,3440,0.0,3.44,0.0,0.16091954022988506,0.45977011494252873,0,2,12,4,0,1,4,0,37,5,2,0,0
34,1156,21755,9,63,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,306,567,2142,0.0,2.142,0.0,0.2571428571428571,1.8,0,2,11,2,4,0,0,1,37,2,0,2,0
17,289,208046,9,16,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,153,144,272,0.0,0.272,0.0,0.5,0.8888888888888888,0,2,11,4,11,3,2,0,37,0,4,2,0
19,361,400356,10,40,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,190,400,760,0.0,0.76,0.0,0.5,2.0,0,2,15,3,0,3,4,1,37,0,2,2,0
47,2209,167787,9,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,423,360,1880,0.0,1.88,0.0,0.1875,0.8333333333333334,0,2,11,4,0,2,4,0,37,3,2,2,0
41,1681,203233,9,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,369,360,1640,0.0,1.64,0.0,0.21428571428571427,0.9523809523809523,0,2,11,2,3,0,4,1,37,3,2,2,1
23,529,141264,10,40,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,230,400,920,0.0,0.92,0.0,0.4166666666666667,1.6666666666666667,0,2,15,4,3,2,2,0,37,1,2,2,0
40,1600,282678,14,20,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,560,280,800,0.0,0.8,0.0,0.34146341463414637,0.4878048780487805,0,4,12,5,3,4,4,0,37,2,4,0,0
19,361,472807,2,52,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,38,104,988,0.0,0.988,0.0,0.1,2.6,0,2,3,4,5,2,4,1,24,0,1,1,0
30,900,108386,11,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,330,440,1200,0.0,1.2,0.0,0.3548387096774194,1.2903225806451613,0,1,8,2,10,0,4,1,37,1,2,2,0
39,1521,99357,14,40,1506,0,7.317876198626496,0.0,7.317876198626496,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,546,560,1560,102.45026678077095,1.56,36.73170731707317,0.35,1.0,1506,2,12,0,9,3,4,0,37,2,2,0,0
37,1369,73199,13,77,3137,0,8.051340933292979,0.0,8.051340933292979,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,481,1001,2849,104.66743213280873,2.849,40.217948717948715,0.34210526315789475,2.026315789473684,3137,4,9,2,11,0,1,1,38,2,0,0,0
19,361,274657,3,50,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,57,150,950,0.0,0.95,0.0,0.15,2.5,0,2,4,4,7,1,4,1,12,0,3,1,0
57,3249,229270,13,37,0,1579,0.0,7.365180126021013,7.365180126021013,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,741,481,2109,0.0,2.109,-41.55263157894737,0.22413793103448276,0.6379310344827587,-1579,5,9,2,3,0,3,1,37,4,2,0,0
40,1600,34178,10,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,400,400,1600,0.0,1.6,0.0,0.24390243902439024,0.975609756097561,0,2,15,0,2,4,4,1,37,2,2,2,1
73,5329,200878,9,15,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,657,135,1095,0.0,1.095,0.0,0.12162162162162163,0.20270270270270271,0,2,11,6,9,1,4,0,37,5,4,2,0
43,1849,193490,4,45,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,172,180,1935,0.0,1.935,0.0,0.09090909090909091,1.0227272727272727,0,2,5,2,2,0,4,1,37,3,3,1,0
38,1444,203628,13,45,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,494,585,1710,0.0,1.71,0.0,0.3333333333333333,1.1538461538461537,0,5,9,2,9,0,4,1,37,2,3,0,1
44,1936,135056,14,16,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,616,224,704,0.0,0.704,0.0,0.3111111111111111,0.35555555555555557,0,1,12,0,9,4,4,0,37,3,4,0,0
47,2209,192776,13,50,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,611,650,2350,0.0,2.35,0.0,0.2708333333333333,1.0416666666666667,0,2,9,2,9,0,4,1,37,3,3,0,0
40,1600,195520,10,49,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,400,490,1960,0.0,1.96,0.0,0.24390243902439024,1.1951219512195121,0,5,15,4,0,4,2,0,37,2,3,2,0
43,1849,222978,16,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,688,640,1720,0.0,1.72,0.0,0.36363636363636365,0.9090909090909091,0,5,10,5,9,4,4,0,37,3,2,3,1
66,4356,127921,9,55,2050,0,7.62608275807238,0.0,7.62608275807238,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,594,495,3630,68.63474482265143,3.63,36.607142857142854,0.13432835820895522,0.8208955223880597,2050,2,11,4,13,1,4,1,37,5,1,2,0
20,400,157595,10,40,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,200,400,800,0.0,0.8,0.0,0.47619047619047616,1.9047619047619047,0,2,15,4,5,1,4,1,37,0,2,2,0
61,3721,142988,10,45,15024,0,9.617470759403409,0.0,9.617470759403409,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,610,450,2745,96.17470759403409,2.745,326.60869565217394,0.16129032258064516,0.7258064516129032,15024,2,15,2,3,0,4,1,37,5,3,2,1
