age,age_squared,fnlwgt,educational-num,hours-per-week,capital-gain,capital-loss,log_capital_gain,log_capital_loss,log_capital_net,has_capital_gain,has_capital_loss,has_any_capital,is_prime_age,is_young,is_senior,has_advanced_degree,has_college,hs_or_less,works_overtime,works_extreme,is_part_time,is_professional,is_private,is_self_employed,is_government,is_married,never_married,is_male,is_white,is_usa,age_education_interaction,hours_education_interaction,age_hours_interaction,education_capital_interaction,work_intensity,capital_per_hour,education_age_ratio,hours_age_ratio,capital_net,workclass_encoded,education_encoded,marital-status_encoded,occupation_encoded,relationship_encoded,race_encoded,gender_encoded,native-country_encoded,age_bucket_encoded,hours_category_encoded,education_category_encoded,target
54,2916,115602,9,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,486,360,2160,0.0,2.16,0.0,0.16363636363636364,0.7272727272727273,0,2,11,2,7,5,2,0,37,4,2,2,0
28,784,401886,9,20,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,252,180,560,0.0,0.56,0.0,0.3103448275862069,0.6896551724137931,0,1,11,4,0,2,4,1,37,1,4,2,0
53,2809,139671,10,50,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,530,500,2650,0.0,2.65,0.0,0.18518518518518517,0.9259259259259259,0,1,15,2,3,0,4,1,37,4,3,2,0
58,3364,177368,9,16,3137,0,8.051340933292979,0.0,8.051340933292979,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,522,144,928,72.4620683996368,0.928,184.52941176470588,0.15254237288135594,0.2711864406779661,3137,2,11,2,2,0,4,1,37,4,4,2,0
47,2209,352614,12,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,564,480,1880,0.0,1.88,0.0,0.25,0.8333333333333334,0,1,7,2,10,0,4,1,37,3,2,2,1
36,1296,192939,9,60,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,324,540,2160,0.0,2.16,0.0,0.24324324324324326,1.6216216216216217,0,2,11,2,11,0,4,1,37,2,1,2,0
47,2209,162187,13,45,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,611,585,2115,0.0,2.115,0.0,0.2708333333333333,0.9375,0,2,9,2,11,0,4,1,37,3,3,0,1
28,784,216178,9,40,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,252,360,1120,0.0,1.12,0.0,0.3103448275862069,1.3793103448275863,0,2,11,2,6,0,4,1,37,1,2,2,0
38,1444,414991,9,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,342,360,1520,0.0,1.52,0.0,0.23076923076923078,1.0256410256410255,0,2,11,2,13,0,4,1,37,2,2,2,1
46,2116,265554,9,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,414,360,1840,0.0,1.84,0.0,0.19148936170212766,0.851063829787234,0,5,11,4,13,1,2,1,37,3,2,2,0
42,1764,269028,16,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,672,640,1680,0.0,1.68,0.0,0.37209302325581395,0.9302325581395349,0,2,10,2,9,0,4,1,9,3,2,3,0
32,1024,213750,11,45,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,352,495,1440,0.0,1.44,0.0,0.3333333333333333,1.3636363636363635,0,2,8,4,7,1,4,1,37,2,3,2,0
36,1296,167482,13,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,468,520,1440,0.0,1.44,0.0,0.35135135135135137,1.0810810810810811,0,2,9,2,0,0,4,1,37,2,2,0,1
24,576,163665,9,40,2174,0,7.684783943522785,0.0,7.684783943522785,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,216,360,960,69.16305549170507,0.96,53.02439024390244,0.36,1.6,2174,2,11,4,7,1,4,0,37,1,2,2,0
29,841,357781,4,40,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,116,160,1160,0.0,1.16,0.0,0.13333333333333333,1.3333333333333333,0,2,5,2,4,0,4,1,37,1,2,1,0
57,3249,231232,4,40,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,228,160,2280,0.0,2.28,0.0,0.06896551724137931,0.6896551724137931,0,2,5,2,2,0,4,1,37,4,2,1,0
68,4624,133736,10,40,20051,0,9.906084178383393,0.0,9.906084178383393,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,680,400,2720,99.06084178383394,2.72,489.0487804878049,0.14492753623188406,0.5797101449275363,20051,4,15,2,11,0,4,1,37,5,2,2,1
67,4489,330144,11,18,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,737,198,1206,0.0,1.206,0.0,0.16176470588235295,0.2647058823529412,0,1,8,2,10,0,4,1,37,5,4,2,0
21,441,123727,10,28,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,210,280,588,0.0,0.588,0.0,0.45454545454545453,1.2727272727272727,0,2,15,4,9,1,4,0,37,1,4,2,0
37,1369,121510,9,55,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,333,495,2035,0.0,2.035,0.0,0.23684210526315788,1.4473684210526316,0,4,11,0,3,4,4,1,37,2,1,2,0
25,625,125863,13,35,0,0,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,325,455,875,0.0,0.875,0.0,0.5,1.3461538461538463,0,1,9,4,9,3,4,1,37,1,2,0,0
43,1849,113211,9,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,387,360,1720,0.0,1.72,0.0,0.20454545454545456,0.9090909090909091,0,4,11,2,3,5,4,0,37,3,2,2,0
26,676,72594,10,55,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,260,550,1430,0.0,1.43,0.0,0.37037037037037035,2.037037037037037,0,1,15,2,10,0,4,1,37,1,1,2,1
24,576,197496,13,20,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,312,260,480,0.0,0.48,0.0,0.52,0.8,0,3,9,4,0,3,4,1,37,1,4,0,0
21,441,189888,12,55,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,252,660,1155,0.0,1.155,0.0,0.5454545454545454,2.5,0,2,7,4,9,1,4,1,37,1,1,2,0
38,1444,85492,9,50,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,342,450,1900,0.0,1.9,0.0,0.23076923076923078,1.2820512820512822,0,4,11,4,0,1,4,0,37,2,3,2,0
29,841,53147,9,37,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,261,333,1073,0.0,1.073,0.0,0.3,1.2333333333333334,0,2,11,4,0,1,2,1,37,1,2,2,0
42,1764,145178,9,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,378,360,1680,0.0,1.68,0.0,0.20930232558139536,0.9302325581395349,0,2,11,5,12,1,2,0,37,3,2,2,0
55,3025,181974,10,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,550,400,2200,0.0,2.2,0.0,0.17857142857142858,0.7142857142857143,0,2,15,0,0,1,4,0,37,4,2,2,0
53,2809,167065,7,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,371,280,2120,0.0,2.12,0.0,0.12962962962962962,0.7407407407407407,0,2,1,2,6,0,4,1,37,4,2,1,0
32,1024,168782,5,32,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,160,160,1024,0.0,1.024,0.0,0.15151515151515152,0.9696969696969697,0,4,6,2,2,0,4,1,37,2,2,1,0
27,729,225291,12,40,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,324,480,1080,0.0,1.08,0.0,0.42857142857142855,1.4285714285714286,0,1,7,4,9,1,4,0,37,1,2,2,0
19,361,170720,8,16,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,152,128,304,0.0,0.304,0.0,0.4,0.8,0,2,2,4,7,3,4,1,37,0,4,1,0
28,784,230743,12,40,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,336,480,1120,0.0,1.12,0.0,0.41379310344827586,1.3793103448275863,0,2,7,0,0,1,4,0,37,1,2,2,0
37,1369,154210,10,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,370,400,1480,0.0,1.48,0.0,0.2631578947368421,1.0526315789473684,0,2,15,2,2,0,1,1,15,2,2,2,0
34,1156,189759,13,45,0,1977,0.0,7.589841512182657,7.589841512182657,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,442,585,1530,0.0,1.53,-42.97826086956522,0.37142857142857144,1.2857142857142858,-1977,2,9,2,3,0,4,1,37,2,3,0,1
56,3136,442116,10,54,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,560,540,3024,0.0,3.024,0.0,0.17543859649122806,0.9473684210526315,0,2,15,2,3,0,4,1,37,4,1,2,1
38,1444,280169,13,50,7298,0,8.895492631451633,0.0,8.895492631451633,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,494,650,1900,115.64140420887124,1.9,143.09803921568627,0.3333333333333333,1.2820512820512822,7298,4,9,2,11,0,4,1,37,2,3,0,1
37,1369,225504,14,50,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,518,700,1850,0.0,1.85,0.0,0.3684210526315789,1.3157894736842106,0,2,12,4,11,1,4,1,37,2,3,0,0
46,2116,364913,7,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,322,280,1840,0.0,1.84,0.0,0.14893617021276595,0.851063829787234,0,2,1,2,13,0,2,1,37,3,2,1,0
42,1764,107276,10,40,0,2444,0.0,7.801800401908973,7.801800401908973,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,420,400,1680,0.0,1.68,-59.609756097560975,0.23255813953488372,0.9302325581395349,-2444,2,15,4,3,1,4,0,37,3,2,2,1
47,2209,122194,9,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,423,360,1880,0.0,1.88,0.0,0.1875,0.8333333333333334,0,2,11,0,0,1,4,0,37,3,2,2,0
39,1521,167482,10,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,390,400,1560,0.0,1.56,0.0,0.25,1.0,0,2,15,2,11,0,4,1,37,2,2,2,0
72,5184,284120,10,40,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,720,400,2880,0.0,2.88,0.0,0.136986301369863,0.547945205479452,0,4,15,2,11,0,4,1,37,5,2,2,0
35,1225,198341,13,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,455,520,1400,0.0,1.4,0.0,0.3611111111111111,1.1111111111111112,0,2,9,2,3,0,1,1,37,2,2,0,0
43,1849,191814,12,50,7688,0,8.94754601503218,0.0,8.94754601503218,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,516,600,2150,107.37055218038617,2.15,150.7450980392157,0.2727272727272727,1.1363636363636365,7688,2,7,2,11,0,4,1,37,3,3,2,1
48,2304,247043,9,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,432,360,1920,0.0,1.92,0.0,0.1836734693877551,0.8163265306122449,0,0,11,0,0,1,4,1,37,3,2,2,0
50,2500,185407,11,38,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,550,418,1900,0.0,1.9,0.0,0.21568627450980393,0.7450980392156863,0,2,8,2,12,0,4,1,37,3,2,2,1
32,1024,364657,13,50,0,0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,416,650,1600,0.0,1.6,0.0,0.3939393939393939,1.5151515151515151,0,2,9,2,9,0,4,1,37,2,3,0,1
43,1849,104892,9,45,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,387,405,1935,0.0,1.935,0.0,0.20454545454545456,1.0227272727272727,0,3,11,2,4,0,4,1,37,3,3,2,0
27,729,127796,3,35,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,81,105,945,0.0,0.945,0.0,0.10714285714285714,1.25,0,2,4,4,4,1,4,1,24,1,2,1,0
41,1681,289886,3,40,0,1579,0.0,7.365180126021013,7.365180126021013,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,123,120,1640,0.0,1.64,-38.51219512195122,0.07142857142857142,0.9523809523809523,-1579,2,4,2,7,0,3,1,25,3,2,1,0
51,2601,146767,11,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,561,440,2040,0.0,2.04,0.0,0.21153846153846154,0.7692307692307693,0,2,8,2,9,0,4,1,37,4,2,2,1
70,4900,165586,9,40,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,630,360,2800,0.0,2.8,0.0,0.1267605633802817,0.5633802816901409,0,4,11,2,4,0,4,1,37,5,2,2,0
71,5041,283889,9,40,0,1816,0.0,7.504942068396171,7.504942068396171,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,639,360,2840,0.0,2.84,-44.292682926829265,0.125,0.5555555555555556,-1816,2,11,3,9,1,2,1,37,5,2,2,0
24,576,537222,9,50,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,216,450,1200,0.0,1.2,0.0,0.36,2.0,0,2,11,2,3,0,4,1,37,1,3,2,0
32,1024,198068,9,40,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,288,360,1280,0.0,1.28,0.0,0.2727272727272727,1.2121212121212122,0,2,11,2,2,0,4,1,37,2,2,2,0
52,2704,190333,9,25,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,468,225,1300,0.0,1.3,0.0,0.16981132075471697,0.4716981132075472,0,4,11,0,4,1,4,1,37,4,4,2,0
23,529,107882,13,50,0,0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,299,650,1150,0.0,1.15,0.0,0.5416666666666666,2.0833333333333335,0,2,9,4,12,3,4,0,37,1,3,0,0
28,784,175262,12,40,0,2002,0.0,7.602401335665818,7.602401335665818,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,336,480,1120,0.0,1.12,-48.829268292682926,0.41379310344827586,1.3793103448275863,-2002,1,7,2,10,0,4,1,8,1,2,2,0
30,900,180859,10,8,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,300,80,240,0.0,0.24,0.0,0.3225806451612903,0.25806451612903225,0,4,15,4,2,3,4,1,37,1,4,2,0
23,529,315065,10,35,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,230,350,805,0.0,0.805,0.0,0.4166666666666667,1.4583333333333333,0,2,15,4,7,4,4,1,24,1,2,2,0
26,676,29957,14,25,0,0,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,364,350,650,0.0,0.65,0.0,0.5185185185185185,0.9259259259259259,0,2,12,4,12,2,4,1,37,1,4,0,0
27,729,469705,9,40,0,1980,0.0,7.591357046698551,7.591357046698551,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,243,360,1080,0.0,1.08,-48.292682926829265,0.32142857142857145,1.4285714285714286,-1980,0,11,4,2,1,2,1,37,1,2,2,0
